revolution=	Anti-Intellectual Revolution	Law		After a player researches a technology, that player must destroy 1 of their non-fighter ships.	At the start of the next strategy phase, each player chooses and exhausts 1 planet for each technology that they own.
secret=	Archived Secret	Directive	Player	The elected player draws 1 secret objective.	
arms_reduction=	Arms Reduction	Directive		Each player destroys all but 2 of their dreadnoughts and all but 4 of their cruisers.	At the start of the next strategy phase, each player exhausts each of their planets that have a technology specialty.
classified=	Classified Document Leaks	Law	Scored Secret Objective (When this agenda is revealed, if there are no scored secret objectives, discard this card and reveal another agenda from the top of the deck.)	The elected secret objective becomes a public objective; place it near the other public objectives in the common play area.	
redistribution=	Colonial Redistribution	Directive	Non-Home Planet Other Than Mecatol Rex	Destroy each unit on the elected planet. Then, the player who controls that planet chooses 1 player with the fewest victory points; that player may place 1 infantry from their reinforcements on that planet.	
committee=	Committee Formation	Law	Player	The elected player gains this card. Before players vote on an agenda that requires a player to be elected, the owner of this card may discard this card to choose a player to be elected. Players do not vote on that agenda.	
disarmamament=	Compensated Disarmament	Directive	Planet	Destroy each ground force on the elected planet; for each unit that was destroyed, the player who control that planet gains 1 trade good.	
conventions=	Conventions of War	Law		Players cannot use Bombardment against units that are on cultural planets.	Each player that voted "Against" discards all of their action cards.
economic_equality=	Economic Equality	Directive		Each player returns all of their trade goods to the supply. Then, each player gains 5 trade goods.	Each player returns all of their trade goods to the supply.
travel_ban=	Enforced Travel Ban	Law		Alpha and beta wormholes have no effect during movement.	Destroy each PDS in or adjacent to a system that contains a wormhole.
sanctions=	Executive Sanctions	Law		Each player can have a maximum of 3 action cards in their hand.	Each player discards 1 random action card from their hand.
regulations=	Fleet Regulations	Law		Each player cannot have more than 4 tokens in their fleet pool.	Each player places 1 command token from their reinforcements in their fleet pool.
defense_act=	Homeland Defense Act	Law		Each player can have any number of PDS units on planets they control.	Each player destroys 1 of their PDS units.
arbiter=	Imperial Arbiter	Law	Player	The elected player gains this card. At the end of the strategy phase, the owner of this card may discard this card to swap 1 of their strategy cards with 1 of another player's strategy cards.	
incentive=	Incentive Program	Directive		Draw and reveal 1 stage I public objective from the deck and place it near the public objectives.	Draw and reveal 1 stage II public from the deck and place it near the public objectives.
artifact=	Ixthian Artifact	Directive		The speaker rolls 1 die. If the result is 6-10, each player may research 2 technologies. If the result is 1-5, destroy all units in Mecatol Rex's system, and each player with units in systems adjacent to Mecatol Rex's system destroys 3 of their own units in each of those systems.	No effect.
abolishment=	Judicial Abolishment	Directive	Law (When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)	Discard the elected law from play.	
minister_commrece=	Minister of Commerce	Law	Player	The elected player gains this card. After the owner of this card replenishes commodities, they gain 1 trade good for each player that is their neighbor.	
minister_exploration=	Minister of Exploration	Law	Player	The elected player gains this card. When the owner of this card gains control of a planet, they gain 1 trade good.	
minister_industry=	Minister of Industry	Law	Player	The elected player gains this card. When the owner of this card places a space dock in a system, his units in that system may use their Production abilities.	
minister_peace=	Minister of Peace	Law	Player	The elected player gains this card. After a player activates a system that contains 1 or more of a different player's units, the owner of this card may discard this card; immediately end the active player's turn.	
minister_policy=	Minister of Policy	Law	Player	The elected player gains this card. At the end of the status phase, the owner of this card draws 1 action card.	
minister_sciences=	Minister of Sciences	Law	Player	The elected player gains this card. When the owner of this card resolves the primary or secondary ability of the "Technology" strategy card, he does not need to spend resources to research technology.	
minister_war=	Minister of War	Law	Player	The elected player gains this card. The owner of this card may discard this card after performing an action to remove 1 of his command counters from the game board and return it to his reinforcements; then he may perform 1 additional action.	
miscount=	Miscount Disclosed	Directive	Law (When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)	Vote on the elected law as if it were just revealed from the top of the deck.	
mutiny=	Mutiny	Directive		Each player that voted "For" gains 1 victory point.	Each player that voted "For" loses 1 victory point.
constitution=	New Constitution	Directive	(When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)	Discard all laws from play. At the start of the next strategy phase, each player exhausts each planet in his home system.	No effect.
prophecy=	Prophecy of Ixth	Law	Player	The elected player gains this card. The owner of this card applies +1 to the result of his fighter's combat rolls. When the owner of this card uses Production, he discards this card unless he produces 2 or more fighters.	
execution=	Public Execution	Directive	Player	The elected player discards all of his action cards. If he has the speaker token, he gives it to the player on his left. The elected player cannot vote on any agendas during this agenda phase.	
schematics=	Publicize Weapon Schematics	Law		If any player owns a war sun technology, all players may ignore all prerequisites on war sun technologies. All war suns lose Sustain Damage.	Each player that owns a war sun technology discards all of their action cards.
conscription=	Regulated Conscription	Law		When a player produces units, they produce only 1 fighter and infantry for its cost instead of 2.	No effect.
seed_empire=	Seed of an Empire	Directive		The player with the most victory points gains 1 victory point.	The player with the fewest victory points gains 1 victory point.
shared_research=	Shared Research	Law		Each player's units can move through nebulae.	Each player places a command token from their reinforcements in their home system, if able.
plowshares=	Swords to Plowshares	Directive		Each player destroys half of their infantry on each planet they controls, rounded up. Then, each player gains trade goods equal to the number of their infantry that were destroyed.	Each player places 1 infantry from their reinforcements on each planet they control.
unconventional=	Unconventional Measures	Directive		Each player that voted "For" draws 2 action cards.	Each player that voted "For" discards all of his action cards.
wormhole_recon=	Wormhole Reconstruction	Law		All systems that contain either an alpha or beta wormhole are adjacent to each other.	Each player places a command token from his reinforcements in each system that contains a wormhole and 1 or more of his ships.
wormhole_research=	Wormhole Research	Directive		Each player who has 1 or more ships in a system that contains a wormhole may research 1 technology. Then, destroy all ships in systems that contain an alpha or beta wormhole.	Each player that voted "Against" removes 1 command token from his command sheet and returns it to his reinforcements.
standardization=	Armed Forces Standardization	Directive	Player	The elected player place command tokens from their reinforcements so that they have 3 tokens in their tactic pool, 3 tokens in their fleet pool, and 2 tokens in their strategy pool. They return any excess tokens to their reinforcements.	
articles_war=	Articles of War	Law		All mechs lose their printed abilities except for Sustain Damage.	Each player that voted "For" gets 3 trade goods.
checks=	Checks and Balances	Law		When a player chooses a strategy card during the strategy phase, they give that strategy card to another player who does not have 1 (or a player who does not have 2 is a three- or four-player game), if able.	Each player readies only 3 of their planets at the end of this agenda phase.
cladenstine=	Clandestine Operations	Directive		Each player removes 2 command tokens from their command sheet and return those tokens to their reinforcements.	Each player removes 1 command token from their fleet pool and returns that token to their reinforcements.
covert=	Covert Legislation	Directive	When this agenda is revealed, the speaker draws the next card in the agenda deck but does not reveal it to the other players. Instead, the speaker reads the eligible outcomes aloud (for, against, elect player, etc.); the other players vote for these outcomes as if they were outcomes of this agenda, without knowing their effects.		
crisis=	Galactic Crisis Pact	Directive	Strategy Card	Each player may perform the secondary ability of the elected strategy card without spending a command token; command tokens placed by the ability are placed from a player's reinforcements instead.	
minister=antiquities=	Minister of Antiquities	Directive	Player	The elected player gains 1 relic.	
nexus=	Nexus Sovereignty	Law		Alpha and beta wormholes in the wormhole nexus have no effect during movement.	Place a gamma wormhole token in the Mecatol Rex system.
censure=	Political Censure	Law	Player	The elected player gains this card and 1 victory point. The elected player cannot play action cards. If the owner of this card loses this card, they lose 1 victory point.	
rearmament=	Rearmament Agreement	Directive		Each player places 1 mech from their reinforcements on a planet they control in their home system.	Each player replaces each of their mechs with 1 infantry from their reinforcements.
rep_govt=	Representative Government	Law		Players cannot exhaust planets to cast votes during the agenda phase; each player may cast 1 vote on each agenda instead. Players cannot cast additional votes.	At the start of the next strategy phase, each player that voted "Against" exhausts all of their cultural planets.
grant_reallocation=	Research Grant Reallocation	Directive	Player	The elected player gains any 1 technology of their choice. Then, for each prerequisite on that technology, they remove 1 token from their fleet pool and return it to their reinforcements.	
warrant=	Search Warrant	Law	Player	The elected player gains this card and draws 2 secret objectives. The owner of this card plays with their secret objectives revealed.	
