83a=83a,83a180,84a120,84a300
83a60=83a60,83a240,84a,84a180
83a120=83a120,83a300,84a60,84a240
83b=83b,83b180,85b,85b180,88b,88b180
83b60=83b60,83b240,85b60,85b240,88b60,88b240
83b120=83b120,83b300,85b120,85b300,88b120,88b300
84b=84b,84b180,86b,86b180,91a,91a180
84b60=84b60,84b240,86b60,86b240,91b60,91b240
84b120=84b120,84b300,86b120,86b300,91b120,91b300
85a=85a,86a
85a60=85a60,86a60
85a120=85a120,86a120
85a180=85a180,86a180
85a240=85a240,86a240
85a300=85a300,86a300
87a=87a,88a240
87a60=87a60,88a300
87a120=87a120,88a
87a180=87a180,88a60
87a240=87a240,88a120
87a300=87a300,88a180
89b=89b,90b
89b60=89b60,90b60
89b120=89b120,90b120
89b180=89b180,90b180
89b240=89b240,90b240
89b300=89b300,90b300
87b=87b,91b
87b60=87b60,91b60
87b120=87b120,91b120
87b180=87b180,91b180
87b240=87b240,91b240
87b300=87b300,91b300
90a=90a,90a180
90a60=90a60,90a240
90a120=90a120,90a300
89a=89a,89a120,89a240
89a60=89a60,89a180,89a300
